iter	MultiClass
775	0.1656208235
776	0.1654110637
777	0.1651077413
778	0.1646996998
779	0.1644365564
780	0.1641922397
781	0.1639703813
782	0.16372294
783	0.1634995272
784	0.1633641668
785	0.1632131249
786	0.162957649
787	0.1627984067
788	0.1622972692
789	0.1620428214
790	0.1617355598
791	0.1614928261
792	0.1612965825
793	0.1611518428
794	0.1608507366
795	0.1605281177
796	0.1603746986
797	0.1600466732
798	0.1598036314
799	0.1597123767
800	0.1593703387
801	0.1589786627
802	0.1585565143
803	0.1581359366
804	0.1577549595
805	0.1574164822
806	0.1569812996
807	0.1568747409
808	0.1567346439
809	0.1564298872
810	0.1562912744
811	0.1561125556
812	0.155836068
813	0.1557497341
814	0.1556549858
815	0.1554868409
816	0.1551917311
817	0.1549185639
818	0.1546601991
819	0.1543969782
820	0.1542290939
821	0.1538935035
822	0.153798666
823	0.1535418901
824	0.1534114088
825	0.1530975493
826	0.1528149838
827	0.1525869502
828	0.1524353314
829	0.1521642359
830	0.1519540302
831	0.1518625264
832	0.1516775122
833	0.1514686298
834	0.1512249373
835	0.1510262246
836	0.1507969701
837	0.1507106158
838	0.1505364519
839	0.1503804177
840	0.1501828137
841	0.1498879233
842	0.149674753
843	0.1495460353
844	0.1493736933
845	0.1490626626
846	0.1488086828
847	0.1487046959
848	0.1485202633
849	0.1483752473
850	0.1481605964
851	0.1479146211
852	0.1476968868
853	0.1473833072
854	0.1472692782
855	0.1470091142
856	0.1467272394
857	0.1465512983
858	0.1464131785
859	0.1461822826
860	0.1460083428
861	0.1457986097
862	0.1456227057
863	0.1455512702
864	0.1454478314
865	0.145267211
866	0.1451118661
867	0.144999645
868	0.1448674639
869	0.1446305542
870	0.144448367
871	0.1441745917
872	0.144063796
873	0.1437594895
874	0.1436445526
875	0.1434761798
876	0.143312237
877	0.1430930164
878	0.14287291
879	0.1426008531
880	0.1423779039
881	0.1421130658
882	0.1419314686
883	0.1417866555
884	0.1414807433
885	0.1413197501
886	0.141052415
887	0.140848167
888	0.1407627941
889	0.1406636608
890	0.1403960168
891	0.1401465133
892	0.1397578372
893	0.1396339081
894	0.1393303059
895	0.1391879229
896	0.1390021693
897	0.1388456123
898	0.1386115118
899	0.1383640702
900	0.1381896655
901	0.1378638534
902	0.1376949752
903	0.1375477357
904	0.1373318545
905	0.1371660638
906	0.136933702
907	0.1367493402
908	0.1366080344
909	0.136382376
910	0.1360588348
911	0.1357998799
912	0.1355328419
913	0.1353331785
914	0.1351309664
915	0.135093946
916	0.134895678
917	0.1346786393
918	0.1343704767
919	0.1341916136
920	0.1340874566
921	0.1338645032
922	0.1336454948
923	0.1335009626
924	0.1333135989
925	0.1331236241
926	0.1329047589
927	0.1327487533
928	0.1327008909
929	0.1325218727
930	0.1322495112
931	0.1319741855
932	0.1319007122
933	0.1316868699
934	0.1315337888
935	0.1313725927
936	0.1312351291
937	0.131103909
938	0.1309902454
939	0.1307623409
940	0.1304567612
941	0.1302339455
942	0.1299779422
943	0.1298959794
944	0.1298084156
945	0.1296635504
946	0.1296150008
947	0.1294470459
948	0.1293612885
949	0.1291448311
950	0.1290229915
951	0.1289249698
952	0.1287316198
953	0.1285576368
954	0.12831258
955	0.1281679351
956	0.1280195725
957	0.1277570598
958	0.1274514105
959	0.127344945
960	0.1271747058
961	0.1269176191
962	0.1267125563
963	0.1266573395
964	0.1265788119
965	0.1263192567
966	0.1261922318
967	0.1259389599
968	0.1257553249
969	0.1256558599
970	0.1255354263
971	0.1254351016
972	0.1252272738
973	0.1250971515
974	0.1249332891
975	0.124755113
976	0.124640972
977	0.124472923
978	0.124231023
979	0.1240750558
980	0.1239587367
981	0.1238220549
982	0.1237049258
983	0.1235849576
984	0.1234318914
985	0.1232852099
986	0.1231388384
987	0.1230026042
988	0.1228508485
989	0.1227819471
990	0.1226902047
991	0.1225403804
992	0.1222423429
993	0.1220098279
994	0.121953669
995	0.1218060983
996	0.1216623116
997	0.1215570162
998	0.1213379463
999	0.1211425434
